Equipment_Type,Risk_Score,Primary_Risk_Factor,Mitigation_Actions,Risk_Reduction,Reduced_Risk_Score,Implementation_Cost,Cost_per_Risk_Point
"12PI-431/A,MFOLD SYSTEM,ETELEBOU FACILITY_2",18.62,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6104868775577517,7.252734339874665,43.10885483678309,3.792368026376166
"EQ-FS-304/A,FIRE SYSTEM,ZARAMA FACILITY_2",10.307142857142859,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5771121358664377,4.358765628176646,22.68734297623974,3.814039040053054
"GAS COMPRESSION SYSTEM,FACILITY_1",58.22541706349206,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.563551836133611,25.412376367715822,125.49936170953129,3.8246794277034444
"EQ-FS-825/A,FIRE SYSTEM,FACILITY_1",12.462857142857143,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6056067589915939,4.915266620796193,28.999046458115817,3.842159477697436
"LEVEL GAUGE102, CORR INHBTR STORAGE TANK",15.199999999862609,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5593316644049298,6.698158700984524,32.67751604620741,3.8435810429112083
"12PT-203,MFOLD SYSTEM,LOCATION_A FACILITY_2",9.49999999991413,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.614041976646474,3.6666012218253545,22.968031950136393,3.9373327324043363
LCV LP 2 SEP OIL OUTLET TO S/VESS,93.29460714285713,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.5924556968017669,38.02168566018861,219.39739653822792,3.9693468456705796
"MOT,AIR CP,TR1,AIR SYS,KCREEK FACILITY_2",17.588571428412447,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5319583911449491,8.232183268816142,37.91363177108962,4.052165336065478
"EQ-FD-003-16,RM16 ACCM BLOCK A,GBARN FLB",14.73857142857143,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6020822154097734,5.864739690881955,36.02783520586149,4.060008829426176
"55PZT-227,EXP PMP B,TR2,PMP SYS,FACILITY_1",23.451428571216596,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6278726133381237,8.72691882769449,60.03169887300125,4.076991351064273
"WATER CUT METER, OIL METERING SYS, GBRB1",9.111111111111112,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6395716641923755,3.2839026151361344,24.0449129104741,4.126317588787602
"MANUAL CALL POINT 1,MAIN ACCESS GATE",9.879999999910696,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5360042246637866,4.584278260280351,22.275008034439473,4.206227050742724
"TEMPRTR CNTRL VALVE450,COLD  SEPERATOR",15.199999999862609,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6120350900038667,5.897066631887923,39.31266570650147,4.225835459795421
"EQ-FS-203/A,FIRE SYSTEM,LOCATION_C FACILITY_2",11.237142857142857,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6448451332771182,3.990925973774554,30.64938541593364,4.229708537468824
"FLAME DETECTOR102, FIRE PROT SYS, EPUS1",11.530249999999999,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5840930109190942,4.795511560850114,28.590673401399226,4.245253718421792
"45MOV-007,G/SOKU PIG LCH,METER SYS,FACILITY_1",114.06939999896893,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6461887063161461,40.3590419833762,313.37446978169106,4.2514305752713835
"EQ-LE-103,LIQUID EXPORT SYS, TRAIN 1FACILITY_1",406.00828571428565,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6527798013940651,140.9742776013694,1128.8308687145025,4.259192534391928
"45AT-103,GAS EXP METER,TR1,METER SYS,FACILITY_1",11.0,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6867713766288067,3.445514857083126,32.23581426186274,4.267109359806898
"10FT-107,MFOLD SYSTEM,KOROAMA MFOLD",9.120000000000001,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6059365334881187,3.5938588145883577,23.64226172787519,4.278258722431478
"PRV, HP2 INLET HDR, INLET MFOLD",14.765714285580819,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5598153039754813,6.499641454383286,35.43735359915553,4.28708460750661
"PRESSR CONTROL VALVE2, START UP FG HEATR",15.579999999859172,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.653673125082008,5.395772711173542,43.700953994759885,4.291042683553452
"GT,AG CP PKG,TR1,COMP SYS,FACILITY_1",12.741464285714288,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6347234355285816,4.654158300620991,34.80424019559356,4.303564160889362
"12MOV-453,MFOLD SYSTEM,ETELEBOU FACILITY_2",23.492114285714287,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.5502918209879318,10.564595936571964,56.025152606156325,4.333790221220093
"66PZT-036,LP FLARE TIP,FLARE SYS,FACILITY_1",11.176077857142857,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5405176176238998,5.1352108794207805,26.295064163178882,4.352862637126694
"LEVEL CONTROL VALVE301,PRODUCTION SEPRTR",16.01293411078717,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6771273987616867,5.1701376898075715,47.33988022912837,4.366021309551749
"62LI-001/A,H2O TANK,H2O SYS,KOROAMA",10.13599999990838,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5961663677393968,4.093257696556475,26.40422599626059,4.369576703877341
"21PZT-105,AG CP ST1,TR1,COMP SYS,FACILITY_1",19.025100000000002,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6763125106912714,6.158186852847493,56.401705488529366,4.3834682680679515
"POINT GAS DETECTOR109B, FP SYS, GBARW025",13.494136,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5552947530623529,6.000913082090194,32.91650208453512,4.392836359620408
"HYDROCARBON WELLS,KOROAMA MFOLD",9.16666666666667,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5288435807323693,4.318933843286617,21.42632639171724,4.419865362294835
"11LT-604,KOR NAG CATCH,GAS SEP SYS,FACILITY_1",10.292187499999999,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5490742953802995,4.641011900515573,25.0595781076393,4.4344008899538645
"LOCAL FIRE PANEL-102, FP SYS, LOCATION_C FLB",13.234375,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6410639173601758,4.7502947186864235,37.83675878181982,4.45973606180464
"DIG. NON FLOW TIMER, BSTR COMP.TRAIN 3.",9.771428571428572,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5505054924452377,4.39220347382082,24.111582034406254,4.482352308537739
"66LZT-040,ATM KO DRUM,FLARE SYS,FACILITY_1",11.196147959183675,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5856059010841387,4.639617644874578,29.439727026832625,4.490138169968162
"EQ-FD-105,FIRE SYSTEM,KOROAMA MFOLD",11.714765079365078,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6982080872859554,3.5354213602972835,36.732656443918025,4.490905102604549
"GAS DETECTOR904B,FIRE PROT SYSTEM,KRMS3",9.015771428571428,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5722040620717627,3.8569103944323184,23.252413351183456,4.507276547538119
"LCV203,DIESEL TANK,FIRE H2O SYS, GB  FLB",10.448253968253974,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6829938564491813,3.3121606973157305,32.327852023217964,4.530189109897599
"11XZV-402,KC NAG CATCH,GAS SEP SYS,FACILITY_1",21.078257142857144,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6460061312158715,7.461573793226692,61.89183407693297,4.5452943633746665
"COLD SEPARATR,GLYCOL SYS,LOCATION_C EPF",9.934285714285712,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6153891628417845,3.820833945140329,27.825191914186696,4.551469933012403
"EQ-FS-495/A,FIRE SYSTEM,FACILITY_1",12.318485714285714,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6564243608694196,4.232331602406639,36.842050893387125,4.55618955360544
"64LZT-107,TEG DAY TANK,TR1,CHEM SYS,FACILITY_1",13.565714285714288,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.534879192204897,6.309695986888999,33.15953514744916,4.569935435914972
ETELEBOU FLOWSTATION,30.662857142857142,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.4839348899236,15.824030746685498,68.39543285846929,4.609221176421003
"DIESEL FUEL SYSTEM,FACILITY_1",13.680000000000001,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5680160374506603,5.909540607674968,35.857014870998896,4.6145295999378435
"FLOW QTY RECORDER,TEST SEP, ETEF1",11.725714285608298,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5750547926092979,4.982786088901936,31.370112373135584,4.652298149705728
"FLW INDICATR TRNMTR,VENTURI FLW METER2",13.028571428453661,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5776998649751258,5.501967473417199,35.13410671365647,4.667989298167645
"EQ-FS-103/A,FIRE SYSTEM,LOCATION_A FACILITY_2",1538.9082857003755,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.667746198959877,511.3081273760894,4800.766747006818,4.671823673942848
"TEMPERATURE TRANSMTTER550,METERING SKID",22.03999999980078,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6827813655610337,6.9914987029716205,70.38538627623782,4.677235618876452
"TEMPERATURE INDICTATOR575,MANIFOLD SYS",9.119999999917564,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.504037997121197,4.523173466213798,21.61357618941899,4.701847248520045
"GAS DETECTOR 15, FIRE PROTECTN SYS,SITE_1",10675.334410714286,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6056146753641827,4210.195227165465,30410.08017850654,4.703700773509714
"41TT-218,GLYCOL REBOILER,TR2,GLY SYS,FACILITY_1",36.19867936507936,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6233109765134633,13.635645181533988,107.22385169266587,4.752191164558064
"PSWTCH ALRM FUNC,CMMN C/OIL PP DSCHR HDR",10.042857142766366,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5836295543104719,4.181548904529892,28.08830383261699,4.792156066692047
"PRESSURE TRANS2, DIESEL  SYS, LOCATION_C FLB",14.982857142721713,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5405414400696584,6.8840019664369505,38.92387572931574,4.806096032349542
"SURGE VESSEL,TR1,PROD SEP SYS,FACILITY_1",15.308571428433053,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5067695953739262,7.550652879893188,37.3116616836123,4.809493867480061
"TIT 3 ON 2""FG LN FM H-4501A/B TO FG DIST",16.61142857127842,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6881842838602596,5.179704496057324,55.30816784845709,4.838130056720023
"SMOKE DETECTOR-114, FP SYSTEM, GBRS2",14.398556785714286,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5152084880621761,6.9802981138690425,36.02000454749733,4.8555875631845
"MOTOR OPER VLV293, MFLD SYS, GBRS1 FACILITY_2",15.742857142714842,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6374767957821051,5.707151014921557,49.00592452917091,4.883156591587706
"BLAST DOORS SS110 AREA, LOCATION_C FACILITY_2 1",10.841674999999999,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6635152869619605,3.6480579012266867,35.16294286142339,4.888075411661754
"P/GGE, O/METERG SYS(SKID), ETEL F/S.",26.70857142833001,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6435443570243785,9.520421001445687,84.55613849827847,4.9194437096630566
"11LT-104,ZAR NAG CATCH,GAS SEP SYS,FACILITY_1",8.835039067055389,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6963547258718064,2.6827178594493337,30.377339112494496,4.937541147061581
"CORROSION INHIBITOR PUMP PACKAGE B, CS",8.808660714285715,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.4648251957302696,4.714173273646321,20.235127090142583,4.942041557949601
"LS001, PUMP PKG1A,SEWAGE SYS,LOCATION_C  FLB",9.22857142848801,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5877227006306107,3.8047305055745437,26.85674934555195,4.951610809987693
"EQ-FD-013-54,POST WASH,REC-MESS,GBAR FLB",19.253571428571426,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6786453320580964,6.187225053124293,64.75244836021268,4.955665991059941
"RELIEF VALVE300,RODUCTN SEP,",12.648849206349208,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.4616553149831883,6.8094407418172125,29.06903345464416,4.978078452844439
"EQ-FS-822/A,FIRE SYSTEM,FACILITY_1",30.11406942857143,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.4749851026430984,15.810335070040036,71.34943282103393,4.9881681966834
"PG-661,WELL SOGW2,HW,LOCATION_C FACILITY_2",12.37714285703098,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6306912129699745,4.570987615427455,39.181647942185016,5.019327278218003
"41TI-224/B,REB HEAT B,TR2,GLY SYS,FACILITY_1",11.400000000000002,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5371319108906707,5.276696215846355,30.736190895032546,5.019543693810196
"LICA101,DIESEL FILICAER,DIESEL SYS,GB FB",9.016428571428573,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6755579279054476,2.9253087686068118,30.604300688091822,5.024412863118227
"64LZT-207,TEG DAY TANK,TR2,CHEM SYS,FACILITY_1",15.486299999999998,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.671567069837294,5.086210886378714,52.31697710504735,5.030435463916012
"EQ-FS-165/A,FIRE SYSTEM,FACILITY_1",22.248535537190083,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.5625808346550414,9.731935844825337,62.96911446599849,5.030848314531485
"12PT-501,MFOLD SYSTEM,ETELEBOU FACILITY_2",11.019426984126982,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6248664633395321,4.133756616527348,34.64547680993725,5.031532873394689
"PUMP1, P/PKG A,DIESEL  SYSTEM,LOCATION_C FLB",11.399999999896956,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5101544775948276,5.58423895536849,29.312334794564638,5.040154602318474
"TELECOM BEACON-001, TELECOM SYS, EPUS1",10.639999999903825,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5938668633035393,4.321256574411282,31.903772719918894,5.049069185370826
"SHUTDOWN VALVE-116, ES SYSTEM, EPUS2",56.17250357142857,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.6157830266341243,21.582429308598126,174.79977503978708,5.053466312664792
"69XZV-112,LP FG SCBER,TR1,FUEL SYS,FACILITY_1",11.12622857142857,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.4417201818183861,6.211548863904219,24.856721368788758,5.057648279852955
"P.D.M.1, O/METERG SYS (SKID), ETEL F/S",211.3144714285714,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.4569996307046005,114.74383602317643,488.79637415744844,5.0615424875846005
"21PV-651,AG CP ST2,TR2,COMP SYS,FACILITY_1",12.37714285703098,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5210906826218049,5.92752903675311,32.68808673514174,5.068223872934679
"FUEL GAS SYSTEM, LOCATION_C EARLY PRODUCTN",59.99999999945766,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.4549634169850218,32.70219498060309,138.43212248905115,5.07118145189462
"12PT-422,MFOLD SYSTEM,ETELEBOU FACILITY_2",9.257142857142858,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5387933844531532,4.269455526776525,25.38731566357223,5.089997424058176
"EQ-CT-107,GLY CONTACTOR,TR1,GLY SYS,FACILITY_1",8.798679238095238,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5557050922068059,3.9092083807914153,24.89452962753343,5.091456796464251
"51GSO-230,SURGE VESSEL,TR2,SEP SYS,FACILITY_1",11.725714285608298,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.49655890455471186,5.903206444825106,30.112583128976176,5.171754843858776
"EQ-IC-101,IN COOLER A,ST2,TR1,CP SYS,FACILITY_1",10.510317460317456,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6396820713593226,3.78705581665753,34.783950596001695,5.173672012125715
"51HV-002,XXHP SEPARATOR,PROD SEP SYS,FACILITY_1",13.679999999876344,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.4498721797498081,7.525748580954598,31.930023854329242,5.18828719869289
"12PT-442,MFOLD SYSTEM,ETELEBOU FACILITY_2",10.709999999999999,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6447156319969081,3.805095581313114,35.841538877314214,5.190736425013433
"VISUAL BEACON(FAR ROOM), FP SYS, SITE_1",31.72059999971328,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.689714710896807,9.842435541437778,113.74640606712643,5.199083601554216
"COMP,AIR CP,TR4,AIR SYS,FACILITY_1",9.657142857142857,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5504022154737153,4.341830033425264,27.653406167137277,5.202592412575288
"PAS SYSTEM CABINET, PC SYS, SITE_1",9.168253968253964,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5266391903189312,4.339892121774368,25.23278212139421,5.225950938161701
"69XSV-117,LP FG SCBER,TR1,FUEL SYS,FACILITY_1",13.5714285713059,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.4921015703383537,6.892907259631465,34.99153043496953,5.239412858322748
"BURSTING DISC2,10""PRDCTN HDR,MFLD SYS",12.051428571319638,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6491051749097055,4.228783920621382,41.125363061617364,5.257219891478322
"55FE-011,COND STORAGE TANK,PMP SYS,FACILITY_1",9.119999999917566,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.4441177831334902,5.069645817776746,21.380191698283035,5.278598052623267
"AG CP ST1 PKG,TR2,COMP SYS,FACILITY_1",29.910457142857144,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.41497124573638916,17.498477481740835,65.64347153108591,5.28871890893689
"LSLL109,MIXING TANK, H2O SYS,LOCATION_C  FLB",9.879999999910696,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.6789564973946585,3.171909805712104,35.49735470403067,5.2917229310259
"81PDT-805,GT,TR2,POWER SYS,FACILITY_1",147.23419999866917,High failure probability,"Implement condition monitoring sensors, Establish predictive maintenance program, Increase spare parts inventory, Deploy redundant systems where possible",0.5938415928389882,59.800408151085314,462.8956428618835,5.294241883833787
"DRIVER MOBILE AIR COMP2 PKG, SYSTEM,FACILITY_1",13.028571428453661,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.4679119245336395,6.93234749744192,32.32223719134263,5.302009499178349
"EQ-FS-104/B,FIRE SYSTEM,LOCATION_A FACILITY_2",9.16784693877551,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.5739680844388092,3.9057953928983293,28.187922606626532,5.356831334864399
"SEWAGE TREATMENT SYSTEM,FACILITY_1",12.214285714285714,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.49139834657238335,6.212205909723032,32.179198658468025,5.361341352710094
"EQ-IC-605/B,AG CP ST1,TR2,COMP SYS,FACILITY_1",11.345714285714285,High failure probability,"Implement condition monitoring, Increase inspection frequency, Review maintenance procedures, Consider equipment redesign or replacement",0.42025666231121606,6.577602268463317,25.681750421465242,5.38614661915429
